0.00876371	-0.0185052	5.12189	5.09593
0.00942079	-0.0191623	5.12222	5.09626
0.00942079	-0.0188337	5.12123	5.09429
0.00974933	-0.0191623	5.12156	5.09133
0.0100779	-0.0191623	5.1209	5.09166
0.0104064	-0.0194908	5.1209	5.09363
0.011392	-0.0191623	5.11893	5.09429
0.0117206	-0.0194908	5.11762	5.09298
0.0120491	-0.0194908	5.11893	5.09396
0.0120491	-0.0198194	5.11959	5.09495
0.0127062	-0.0201479	5.12025	5.09561
0.0130347	-0.0201479	5.11992	5.09561
0.0130347	-0.020805	5.11959	5.09232
0.0140204	-0.0211335	5.11762	5.08871
0.0143489	-0.0217906	5.12025	5.08772
0.0146774	-0.0214621	5.12189	5.08904
0.015006	-0.0217906	5.12255	5.09133
0.015006	-0.0221192	5.12353	5.09232
0.015006	-0.0217906	5.1232	5.09265
0.0140204	-0.0217906	5.12189	5.09265
0.0143489	-0.0224477	5.12156	5.09396
0.0140204	-0.0217906	5.12288	5.09561
0.0130347	-0.0217906	5.12353	5.09331
0.0127062	-0.0211335	5.11992	5.09232
0.011392	-0.0204765	5.1186	5.09166
0.0110635	-0.0201479	5.11926	5.09035
0.00942079	-0.0188337	5.12025	5.09133
0.00974933	-0.017191	5.12025	5.09166
0.00876371	-0.0158769	5.11893	5.09331
0.00744954	-0.0139056	5.1163	5.09396
0.00646392	-0.0116058	5.11729	5.09265
0.00613538	-0.00864897	5.12025	5.09068
0.00646392	-0.00536356	5.12255	5.09002
0.00613538	-0.00339231	5.12255	5.09166
0.00613538	-0.00109253	5.12222	5.09363
0.00613538	0.0015358	5.12222	5.09462
0.00646392	0.00416413	5.12222	5.09298
0.007121	0.00646392	5.1209	5.09298
0.00777808	0.00974933	5.11828	5.09265
0.00843517	0.0123777	5.1186	5.09035
0.00974933	0.015006	5.11926	5.08904
0.0100779	0.0176343	5.11893	5.09068
0.0117206	0.019277	5.11926	5.09265
0.0120491	0.0202626	5.11893	5.09462
0.0130347	0.0219054	5.11893	5.09462
0.0130347	0.0222339	5.11959	5.09298
0.0130347	0.0232195	5.11992	5.09035
0.0136918	0.0232195	5.12025	5.09002
0.0136918	0.0225624	5.12025	5.09035
0.0130347	0.0215768	5.1209	5.09232
0.0120491	0.0209197	5.12189	5.09363
0.011392	0.019277	5.11926	5.09199
0.0104064	0.0173058	5.1163	5.09133
0.0100779	0.015006	5.11729	5.09199
0.0100779	0.0120491	5.11926	5.09396
0.00974933	0.0104064	5.12222	5.09396
0.00909225	0.00744954	5.12255	5.09429
0.00909225	0.00514976	5.12156	5.09265
0.00876371	0.00252143	5.12058	5.09101
0.00810663	-0.000435444	5.11959	5.09199
0.00909225	-0.00306377	5.11959	5.09133
0.00942079	-0.0056921	5.12123	5.09101
0.00974933	-0.00930605	5.12222	5.09133
0.010735	-0.0125915	5.11992	5.09133
0.0117206	-0.0145627	5.11762	5.09199
0.0130347	-0.0168625	5.11926	5.09298
